,subId,rt,im1,im2,response,low_first,repeat,task_type,correct
0,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,4855,/static/images/modifae_pairwise/attractive/136204_-0.75.png,/static/images/modifae_pairwise/attractive/136204_0.0.png,left,1,modifae,,False
1,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1973,/static/images/modifae_pairwise/attractive/136183_0.0.png,/static/images/modifae_pairwise/attractive/136183_-0.75.png,right,0,modifae,,False
2,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1440,/static/images/gt_pairwise/attractive-low-8.png,/static/images/gt_pairwise/attractive-mid-8.png,left,1,gt,,False
3,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,4048,/static/images/modifae_pairwise/attractive/136227_0.0.png,/static/images/modifae_pairwise/attractive/136227_-0.75.png,right,0,modifae,,False
4,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2592,/static/images/modifae_pairwise/attractive/136225_-0.75.png,/static/images/modifae_pairwise/attractive/136225_0.0.png,left,1,modifae,,False
5,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1949,/static/images/modifae_pairwise/attractive/136205_0.0.png,/static/images/modifae_pairwise/attractive/136205_-0.75.png,left,0,modifae,,True
6,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2297,/static/images/modifae_pairwise/attractive/136245_0.0.png,/static/images/modifae_pairwise/attractive/136245_-0.75.png,left,0,modifae,,True
7,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2015,/static/images/modifae_pairwise/attractive/136245_-0.75.png,/static/images/modifae_pairwise/attractive/136245_0.0.png,left,1,modifae,,False
8,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2585,/static/images/modifae_pairwise/attractive/136186_0.0.png,/static/images/modifae_pairwise/attractive/136186_-0.75.png,right,0,modifae,,False
9,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2040,/static/images/modifae_pairwise/attractive/136217_-0.75.png,/static/images/modifae_pairwise/attractive/136217_0.0.png,right,1,modifae,,True
10,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1894,/static/images/modifae_pairwise/attractive/136248_-0.75.png,/static/images/modifae_pairwise/attractive/136248_0.0.png,right,1,modifae,,True
11,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1782,/static/images/modifae_pairwise/attractive/136252_0.0.png,/static/images/modifae_pairwise/attractive/136252_-0.75.png,left,0,gt,,True
12,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2983,/static/images/modifae_pairwise/attractive/136203_-0.75.png,/static/images/modifae_pairwise/attractive/136203_0.0.png,right,1,modifae,,True
13,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2761,/static/images/modifae_pairwise/attractive/136204_0.0.png,/static/images/modifae_pairwise/attractive/136204_-0.75.png,right,0,modifae,,False
14,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2144,/static/images/gt_pairwise/attractive-mid-6.png,/static/images/gt_pairwise/attractive-low-6.png,right,0,modifae,,False
15,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2486,/static/images/modifae_pairwise/attractive/136228_-0.75.png,/static/images/modifae_pairwise/attractive/136228_0.0.png,left,1,modifae,,False
16,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1967,/static/images/modifae_pairwise/attractive/136248_-0.75.png,/static/images/modifae_pairwise/attractive/136248_0.0.png,left,1,modifae,,False
17,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1407,/static/images/modifae_pairwise/attractive/136216_-0.75.png,/static/images/modifae_pairwise/attractive/136216_0.0.png,left,1,modifae,,False
18,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1574,/static/images/modifae_pairwise/attractive/136231_-0.75.png,/static/images/modifae_pairwise/attractive/136231_0.0.png,left,1,modifae,,False
19,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1278,/static/images/modifae_pairwise/attractive/136268_-0.75.png,/static/images/modifae_pairwise/attractive/136268_0.0.png,right,1,modifae,,True
20,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1329,/static/images/modifae_pairwise/attractive/136243_0.0.png,/static/images/modifae_pairwise/attractive/136243_-0.75.png,right,0,modifae,,False
21,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1294,/static/images/modifae_pairwise/attractive/136249_0.0.png,/static/images/modifae_pairwise/attractive/136249_-0.75.png,left,0,modifae,,True
22,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1184,/static/images/modifae_pairwise/attractive/136242_-0.75.png,/static/images/modifae_pairwise/attractive/136242_0.0.png,right,1,modifae,,True
23,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,831,/static/images/modifae_pairwise/attractive/136225_0.0.png,/static/images/modifae_pairwise/attractive/136225_-0.75.png,right,0,modifae,,False
24,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,2239,/static/images/modifae_pairwise/attractive/136226_0.0.png,/static/images/modifae_pairwise/attractive/136226_-0.75.png,left,0,modifae,,True
25,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1201,/static/images/modifae_pairwise/attractive/136236_-0.75.png,/static/images/modifae_pairwise/attractive/136236_0.0.png,right,1,modifae,,True
26,A34N2P23WZ50L4:3R2UR8A0ICNXG2VZTC2TWBAYREHOXR,1248,/static/images/modifae_pairwise/attractive/136253_0.0.png,/static/images/modifae_pairwise/attractive/136253_-0.75.png,left,0,modifae,,True
