,subId,rt,im1,im2,response,low_first,repeat,task_type,correct,pair_ind
0,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,3372.0,/static/images/modifae_pairwise/attractive/136243_0.75.png,/static/images/modifae_pairwise/attractive/136243_-0.75.png,right,0.0,0.0,gt,False,89.0
1,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1552.0,/static/images/modifae_pairwise/attractive/136191_-0.75.png,/static/images/modifae_pairwise/attractive/136191_0.75.png,right,1.0,0.0,modifae,True,64.0
2,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1895.0,/static/images/modifae_pairwise/attractive/136252_0.75.png,/static/images/modifae_pairwise/attractive/136252_-0.75.png,left,0.0,0.0,modifae,True,19.0
3,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1609.0,/static/images/modifae_pairwise/attractive/136236_-0.75.png,/static/images/modifae_pairwise/attractive/136236_0.75.png,right,1.0,0.0,modifae,True,15.0
4,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1281.0,/static/images/modifae_pairwise/attractive/136255_-0.75.png,/static/images/modifae_pairwise/attractive/136255_0.75.png,right,1.0,0.0,modifae,True,46.0
5,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1383.0,/static/images/modifae_pairwise/attractive/136268_0.75.png,/static/images/modifae_pairwise/attractive/136268_-0.75.png,right,0.0,0.0,modifae,False,16.0
6,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1275.0,/static/images/modifae_pairwise/attractive/136230_-0.75.png,/static/images/modifae_pairwise/attractive/136230_0.75.png,right,1.0,0.0,modifae,True,21.0
7,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1841.0,/static/images/modifae_pairwise/attractive/136192_0.75.png,/static/images/modifae_pairwise/attractive/136192_-0.75.png,left,0.0,0.0,modifae,True,65.0
8,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1358.0,/static/images/modifae_pairwise/attractive/136260_-0.75.png,/static/images/modifae_pairwise/attractive/136260_0.75.png,left,1.0,0.0,modifae,False,60.0
9,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1221.0,/static/images/modifae_pairwise/attractive/136190_-0.75.png,/static/images/modifae_pairwise/attractive/136190_0.75.png,right,1.0,0.0,modifae,True,67.0
10,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1780.0,/static/images/modifae_pairwise/attractive/136253_0.75.png,/static/images/modifae_pairwise/attractive/136253_-0.75.png,right,0.0,0.0,modifae,False,42.0
11,AEF74ZYJTTEIA:3WQ3B2KGEAN577LXIEC0VI6YGV31BJ,1327.0,/static/images/modifae_pairwise/attractive/136243_-0.75.png,/static/images/modifae_pairwise/attractive/136243_0.75.png,left,1.0,0.0,modifae,False,33.0
