,subId,rt,im1,im2,response,low_first,repeat,task_type,correct
0,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,2120,/static/images/modifae_pairwise/intelligent/136182_0.0.png,/static/images/modifae_pairwise/intelligent/136182_0.5.png,left,1,0,modifae,False
1,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1764,/static/images/modifae_pairwise/intelligent/136213_0.0.png,/static/images/modifae_pairwise/intelligent/136213_0.5.png,right,1,0,modifae,True
2,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1702,/static/images/modifae_pairwise/intelligent/136224_0.5.png,/static/images/modifae_pairwise/intelligent/136224_0.0.png,left,0,1,modifae,True
3,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1582,/static/images/modifae_pairwise/intelligent/136267_0.0.png,/static/images/modifae_pairwise/intelligent/136267_0.5.png,right,1,0,modifae,True
4,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1544,/static/images/modifae_pairwise/intelligent/136217_0.5.png,/static/images/modifae_pairwise/intelligent/136217_0.0.png,right,0,0,modifae,False
5,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1511,/static/images/modifae_pairwise/intelligent/136229_0.5.png,/static/images/modifae_pairwise/intelligent/136229_0.0.png,left,0,0,gt,True
6,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1574,/static/images/modifae_pairwise/intelligent/136186_0.5.png,/static/images/modifae_pairwise/intelligent/136186_0.0.png,right,0,0,modifae,False
7,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1486,/static/images/gt_pairwise/intelligent-high-7.png,/static/images/gt_pairwise/intelligent-mid-7.png,left,0,0,modifae,True
8,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1592,/static/images/modifae_pairwise/intelligent/136182_0.5.png,/static/images/modifae_pairwise/intelligent/136182_0.0.png,left,0,0,modifae,True
9,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1516,/static/images/modifae_pairwise/intelligent/136240_0.5.png,/static/images/modifae_pairwise/intelligent/136240_0.0.png,right,0,0,modifae,False
10,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1873,/static/images/modifae_pairwise/intelligent/136258_0.0.png,/static/images/modifae_pairwise/intelligent/136258_0.5.png,right,1,0,modifae,True
11,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1861,/static/images/modifae_pairwise/intelligent/136182_0.5.png,/static/images/modifae_pairwise/intelligent/136182_0.0.png,right,0,0,modifae,False
12,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,2397,/static/images/modifae_pairwise/intelligent/136223_0.5.png,/static/images/modifae_pairwise/intelligent/136223_0.0.png,right,0,1,modifae,False
13,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1680,/static/images/modifae_pairwise/intelligent/136230_0.5.png,/static/images/modifae_pairwise/intelligent/136230_0.0.png,left,0,0,modifae,True
14,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1233,/static/images/gt_pairwise/intelligent-mid-8.png,/static/images/gt_pairwise/intelligent-high-8.png,left,1,0,gt,False
15,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1731,/static/images/modifae_pairwise/intelligent/136185_0.5.png,/static/images/modifae_pairwise/intelligent/136185_0.0.png,left,0,0,modifae,True
16,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1695,/static/images/modifae_pairwise/intelligent/136200_0.0.png,/static/images/modifae_pairwise/intelligent/136200_0.5.png,right,1,0,modifae,True
17,AFN5VMMGYPF1I:3KAKFY4PGW9B4IDIBSI05YP88QS3II,1373,/static/images/modifae_pairwise/intelligent/136193_0.0.png,/static/images/modifae_pairwise/intelligent/136193_0.5.png,left,1,0,modifae,False
