,subId,rt,im1,im2,response,low_first,repeat,task_type,correct
0,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,3428,/static/images/modifae_pairwise/trustworthy/136185_0.0.png,/static/images/modifae_pairwise/trustworthy/136185_-0.5.png,left,0,1,modifae,True
1,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,178,/static/images/modifae_pairwise/trustworthy/136244_-0.5.png,/static/images/modifae_pairwise/trustworthy/136244_0.0.png,right,1,0,modifae,True
2,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,122,/static/images/modifae_pairwise/trustworthy/136200_-0.5.png,/static/images/modifae_pairwise/trustworthy/136200_0.0.png,left,1,1,modifae,False
3,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,146,/static/images/modifae_pairwise/trustworthy/136251_-0.5.png,/static/images/modifae_pairwise/trustworthy/136251_0.0.png,right,1,1,modifae,True
4,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,96,/static/images/modifae_pairwise/trustworthy/136228_0.0.png,/static/images/modifae_pairwise/trustworthy/136228_-0.5.png,left,0,0,modifae,True
5,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,129,/static/images/modifae_pairwise/trustworthy/136269_0.0.png,/static/images/modifae_pairwise/trustworthy/136269_-0.5.png,right,0,0,modifae,False
6,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,94,/static/images/modifae_pairwise/trustworthy/136265_-0.5.png,/static/images/modifae_pairwise/trustworthy/136265_0.0.png,left,1,1,modifae,False
7,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,132,/static/images/modifae_pairwise/trustworthy/136195_-0.5.png,/static/images/modifae_pairwise/trustworthy/136195_0.0.png,right,1,0,modifae,True
8,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,548,/static/images/modifae_pairwise/trustworthy/136203_-0.5.png,/static/images/modifae_pairwise/trustworthy/136203_0.0.png,left,1,0,modifae,False
9,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,115,/static/images/modifae_pairwise/trustworthy/136270_-0.5.png,/static/images/modifae_pairwise/trustworthy/136270_0.0.png,right,1,1,modifae,True
10,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,120,/static/images/modifae_pairwise/trustworthy/136251_0.0.png,/static/images/modifae_pairwise/trustworthy/136251_-0.5.png,left,0,1,modifae,True
11,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,104,/static/images/modifae_pairwise/trustworthy/136265_-0.5.png,/static/images/modifae_pairwise/trustworthy/136265_0.0.png,right,1,0,modifae,True
12,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,121,/static/images/modifae_pairwise/trustworthy/136208_-0.5.png,/static/images/modifae_pairwise/trustworthy/136208_0.0.png,left,1,0,modifae,False
13,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,100,/static/images/modifae_pairwise/trustworthy/136242_0.0.png,/static/images/modifae_pairwise/trustworthy/136242_-0.5.png,right,0,0,gt,False
14,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,123,/static/images/modifae_pairwise/trustworthy/136230_0.0.png,/static/images/modifae_pairwise/trustworthy/136230_-0.5.png,left,0,0,modifae,True
15,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,62,/static/images/modifae_pairwise/trustworthy/136213_-0.5.png,/static/images/modifae_pairwise/trustworthy/136213_0.0.png,right,1,0,modifae,True
16,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,149,/static/images/modifae_pairwise/trustworthy/136271_0.0.png,/static/images/modifae_pairwise/trustworthy/136271_-0.5.png,left,0,0,modifae,True
17,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,27,/static/images/modifae_pairwise/trustworthy/136265_0.0.png,/static/images/modifae_pairwise/trustworthy/136265_-0.5.png,right,0,0,modifae,False
18,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,165,/static/images/modifae_pairwise/trustworthy/136249_-0.5.png,/static/images/modifae_pairwise/trustworthy/136249_0.0.png,right,1,0,modifae,True
19,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,21,/static/images/modifae_pairwise/trustworthy/136213_0.0.png,/static/images/modifae_pairwise/trustworthy/136213_-0.5.png,left,0,0,modifae,True
20,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,142,/static/images/modifae_pairwise/trustworthy/136181_0.0.png,/static/images/modifae_pairwise/trustworthy/136181_-0.5.png,right,0,0,modifae,False
21,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,58,/static/images/modifae_pairwise/trustworthy/136268_-0.5.png,/static/images/modifae_pairwise/trustworthy/136268_0.0.png,left,1,0,modifae,False
22,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,119,/static/images/modifae_pairwise/trustworthy/136205_-0.5.png,/static/images/modifae_pairwise/trustworthy/136205_0.0.png,right,1,0,modifae,True
23,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,88,/static/images/modifae_pairwise/trustworthy/136192_0.0.png,/static/images/modifae_pairwise/trustworthy/136192_-0.5.png,left,0,0,modifae,True
24,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,92,/static/images/modifae_pairwise/trustworthy/136180_-0.5.png,/static/images/modifae_pairwise/trustworthy/136180_0.0.png,right,1,0,modifae,True
25,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,101,/static/images/modifae_pairwise/trustworthy/136248_-0.5.png,/static/images/modifae_pairwise/trustworthy/136248_0.0.png,left,1,0,modifae,False
26,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,73,/static/images/modifae_pairwise/trustworthy/136253_0.0.png,/static/images/modifae_pairwise/trustworthy/136253_-0.5.png,right,0,0,gt,False
27,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,131,/static/images/modifae_pairwise/trustworthy/136267_-0.5.png,/static/images/modifae_pairwise/trustworthy/136267_0.0.png,left,1,0,modifae,False
28,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,59,/static/images/modifae_pairwise/trustworthy/136207_-0.5.png,/static/images/modifae_pairwise/trustworthy/136207_0.0.png,right,1,0,modifae,True
29,AZ9BU8QI4YKF3:3YGXWBAF72O59BAMJWRX40JJ9GCC48,171,/static/images/modifae_pairwise/trustworthy/136189_-0.5.png,/static/images/modifae_pairwise/trustworthy/136189_0.0.png,left,1,0,modifae,False
