,subId,rt,age,gender,hispanic,ethnicity,education,income,state,city,zipcode,sanityFailNum
0,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,16535,26-35,Male,No,White,"Associate degree (e.g. AA, AS)","$20,000 - $34,999",OH,Toledo,43614,0
1,A1SP3GBRZKMWZJ:3VA45EW49PUPQ1A6MJHM126W8GFO1U,30787,56+,Male,No,White,High school degree or equivalent (e.g. GED),"$20,000 - $34,999",illinois,hampshire,60140,0
2,AGKL1HOKIR138:3IXQG4FA2V5NWCOSMRRTAOOG0U09B3,19031,26-35,Female,No,White,"Bachelor&#8217;s degree (e.g. BA, BS)","$35,000 - $49,999",MN,Saint Paul,55106,0
3,A33ST4DW1A4PGK:3DUZQ9U6SOVKA5IX0EIKSVNDU9PVSN,18646,18-25,Male,No,White,"Some college, no degree","$20,000 - $34,999",Illinois,Worth,60482,0
4,A1DX0Z20W07YOR:3IJXV6UZ1ZQ3NKYKMIJWNWSN05AIRP,20145,26-35,Female,Yes,White,High school degree or equivalent (e.g. GED),"$35,000 - $49,999",VA,Fredericksburg,22401,0
5,APVWMP5952IOY:3SLE99ER0PK22365QPLSNCQ9FXWZBG,231680,26-35,Male,No,American Indian or Alaskan Native,"Bachelor&#8217;s degree (e.g. BA, BS)","$75,000 - $99,999",TX,Houston,73301,0
6,A3OHRFXPEKQMIE:34S6N1K2ZXQSORSNBG4F18I9V3AHLG,25010,36-45,Female,No,White,"Some college, no degree","$20,000 - $34,999",IL,Peoria,61606,0
7,A149XKIX8E4E1:31LM9EDVONZE3XQYBTNFQD2DDQEJNP,21797,36-45,Male,No,White,"Some college, no degree","$20,000 - $34,999",CA,Los Angeles,91335,0
8,AAOCWGPQSGXPX:36DSNE9QZ75WLIQAC8NS522I30JJO4,35025,26-35,Male,No,White,"Bachelor&#8217;s degree (e.g. BA, BS)","$75,000 - $99,999",Texas,plano,75023,0
9,A3M9AFBWBR86G6:36H9ULYP6412F5DHD542I8T4BZYJFO,12790,26-35,Male,No,White,"Bachelor&#8217;s degree (e.g. BA, BS)","$75,000 - $99,999",Arizona,Arizona,85282,0
