,subId,feedback_for_hit
0,A2FLZP3C6U67JY:3JZQSN0I3SHSO3NG5ZJZLV1OI47GF0,I thought it was fun
1,A1SP3GBRZKMWZJ:3VA45EW49PUPQ1A6MJHM126W8GFO1U,Interesting
2,AGKL1HOKIR138:3IXQG4FA2V5NWCOSMRRTAOOG0U09B3,It was fun.
3,A33ST4DW1A4PGK:3DUZQ9U6SOVKA5IX0EIKSVNDU9PVSN,Decent pay for a short HIT. It was interesting. Thank you very much.
4,A1DX0Z20W07YOR:3IJXV6UZ1ZQ3NKYKMIJWNWSN05AIRP,"I enjoyed completing, it was fun and hope to work on more HITs in the future! Thanks!"
5,APVWMP5952IOY:3SLE99ER0PK22365QPLSNCQ9FXWZBG,Very Interesting  
6,A3OHRFXPEKQMIE:34S6N1K2ZXQSORSNBG4F18I9V3AHLG,"I do like this hit, although I feel a little judgmental now and concerned about my own attractiveness. I would certainly do it again though. "
7,A149XKIX8E4E1:31LM9EDVONZE3XQYBTNFQD2DDQEJNP,I thought it was a good HIT and fair pay based on how easy it was. 
8,AAOCWGPQSGXPX:36DSNE9QZ75WLIQAC8NS522I30JJO4,interesting 
9,A3M9AFBWBR86G6:36H9ULYP6412F5DHD542I8T4BZYJFO,I would like to do survey again.Thank you.
