,subId,feedback
0,thanks,
1,,
2,"Thank you very much for this HIT, and best of luck with your research!",
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,Why was Ryan Goslin in there?,
11,,
12,,
13,,
14,,
15,very quick and easy task,
16,nice,
17,,
18,very nice,
19,,
20,,
21,"This task was fun! I recognized some of the people in the pictures. Some were famous people, I recognized an athlete.",
22,,
23,,
24,"I found this task very interesting, trying to judge a person's willingness to take risks by just seeing a photo of them was more difficult than I would have imagined.",
25,That was interesting.  Thanks!,
