,UserId,trialId,rt,trial_type,view_history,internal_node_id,time_elapsed,trial_index,responses,imgName,isRepeat,isRandom,stimulus,key_press,prompt,options,required,horizontal,labels
0,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248532061,31308.0,instructions,"[{""page_index"":0,""viewing_time"":28962},{""page_index"":1,""viewing_time"":1139},{""page_index"":2,""viewing_time"":1206}]",0.0-0.0,31309,0,,,,,,,[None],[None],[None],[None],[None]
1,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248546610,12926.0,survey-multi-choice,,0.0-1.0-0.0,44245,1,"{""Q0"":""Under 18"",""Q1"":""Male"",""Q2"":""Yes"",""Q3"":""1"",""Q4"":""American Indian or Alaskan Native"",""Q5"":""Less than a high school diploma""}",,,,,,"[None, None, None, None, None, None]","[None, None, None, None, None, None]","[None, None, None, None, None, None]","[None, None, None, None, None, None]","[None, None, None, None, None, None]"
2,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248557119,10502.0,survey-multi-choice,,0.0-1.1-0.1,56368,2,"{""Q0"":""Under 18"",""Q1"":""Male"",""Q2"":""Yes"",""Q3"":""4"",""Q4"":""American Indian or Alaskan Native"",""Q5"":""Less than a high school diploma""}",,,,,,"[None, None, None, None, None, None]","[None, None, None, None, None, None]","[None, None, None, None, None, None]","[None, None, None, None, None, None]","[None, None, None, None, None, None]"
3,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248566065,8944.0,survey-text-req,,0.0-2.0,65314,3,"{""Q0"":""debug"",""Q1"":""debug"",""Q2"":""debug""}",,,,,,[None],[None],[None],[None],[None]
4,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248573421,7353.0,survey-text-req,,0.0-3.0-0.0,72670,4,"{""Q0"":""How willing or unwilling do you think this person is to take risks?""}",,,,,,[None],[None],[None],[None],[None]
5,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248576553,3130.0,face-likert-amanda,,0.0-4.0,75802,5,"{""Q0"":0}",/static/images/faces/empty-image-1.jpg,False,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
6,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248577654,1101.0,instructions,"[{""page_index"":0,""viewing_time"":1101}]",0.0-5.0,76903,6,,,,,,,[None],[None],[None],[None],[None]
7,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248580379,2723.0,face-likert-amanda,,0.0-6.0-0.0-0.0,79627,7,"{""Q0"":0}",/static/images/2kfaces/Google_1_Gloria Canada_13_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
8,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248582722,2342.0,face-likert-amanda,,0.0-6.0-0.0-1.0,81971,8,"{""Q0"":0}",/static/images/2kfaces/Google_1_Gertrude Bayne_11_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
9,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248585363,2639.0,face-likert-amanda,,0.0-6.0-0.0-2.0,84612,9,"{""Q0"":0}",/static/images/2kfaces/Google_1_Ernest Crump_3_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
10,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248587469,2104.0,face-likert-amanda,,0.0-6.0-0.0-3.0,86718,10,"{""Q0"":0}",/static/images/2kfaces/Google_1_Frank Whitehouse_3_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
11,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248589363,1893.0,face-likert-amanda,,0.0-6.0-0.0-4.0,88612,11,"{""Q0"":0}",/static/images/2kfaces/Google_1_Rose Barlow_1_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
12,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248590677,1313.0,face-likert-amanda,,0.0-6.0-0.0-5.0,89926,12,"{""Q0"":0}",/static/images/2kfaces/Google_1_Billy Kiely_1_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
13,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248595547,4868.0,face-likert-amanda,,0.0-6.0-0.0-6.0,94796,13,"{""Q0"":0}",/static/images/2kfaces/Google_1_Frank Luke_9_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
14,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248598129,2580.0,face-likert-amanda,,0.0-6.0-0.0-7.0,97378,14,"{""Q0"":0}",/static/images/2kfaces/Google_1_Diana Bateman_7_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
15,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248599983,1853.0,face-likert-amanda,,0.0-6.0-0.0-8.0,99232,15,"{""Q0"":0}",/static/images/2kfaces/Google_1_Shelley Lund_5_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
16,A6XBXQC3G59N8:3VP0C6EFSI3WXKQRF9ERIP60I906M0,1542248602747,2763.0,face-likert-amanda,,0.0-6.0-0.0-9.0,101996,16,"{""Q0"":0}",/static/images/2kfaces/Google_1_Stanley Rowden_19_oval.jpg,0,,,,"[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]","[[u'1 <br/>(Completely unwilling to take risks)', u'2', u'3', u'4', u'5', u'6', u'7', u'8', u'9  <br/>(Very willing to take risks)']]"
